,task,status,trackerID,server,state,country,date
0,Data quality assurance,success,89328463487,464f:bdbd:1d:535a:2dad:5117:a92f:b359,Florida,Florida,2020-09-03 00:35:05
1,Designing and implementing data models,success,89328463488,1366:c314:8d40:4219:4a51:138f:7ce3:d244,Ontario,Ontario,2020-05-11 17:36:39
2,Extracting data from various sources,success,89328463489,1ffa:cdd1:7a2b:a7d8:ab00:eada:94b3:7a7c,California,California,2020-07-23 00:17:26
3,Loading data into a data warehouse,success,89328463490,8ac5:9010:f24c:2f06:4679:aaec:a737:f003,Florida,Florida,2020-11-21 04:21:27
4,Data quality assurance,success,89328463491,5a7d:18ec:4650:5421:185c:4fa0:2e86:6643,Queensland,Queensland,2020-04-20 03:44:26
5,Building data pipelines,success,89328463492,1480:2795:2b3a:428e:1023:fa04:586c:90b1,Paris,Paris,2020-09-14 14:29:28
6,Optimizing database performance,-,89328463493,7f2b:df86:5279:687d:2f43:9cbe:d291:8125,Tokyo,Tokyo,2020-08-08 15:23:35
7,Data quality assurance,success,89328463494,805a:a9ff:45ca:7672:6737:68cc:6f2d:4bd2,Paris,Paris,2020-11-10 23:50:56
8,Optimizing database performance,success,89328463495,25d3:9eb2:8066:4cb:3f84:13d5:ab0f:9e3,Queensland,Queensland,2020-07-09 16:50:25
9,Data governance,success,89328463496,f57b:4c0e:26c9:f04d:74a9:16b7:2b02:a063,Queensland,Queensland,2020-08-21 07:00:11
10,Building data pipelines,success,89328463497,46fd:b891:e726:4f51:ff1f:8489:a823:84dc,California,California,2020-10-07 03:47:44
11,Transforming data into a unified format,success,89328463498,8755:3c70:4da:ad2a:a23d:8e9b:1a3b:e9bf,Florida,Florida,2020-05-23 02:21:08
12,Loading data into a data warehouse,success,89328463499,4a73:ce86:e05b:48a6:2235:f676:d4ea:25d,Texas,Texas,2020-10-13 18:27:07
13,Loading data into a data warehouse,success,89328463500,ee97:d7d6:4068:3f6e:f8e9:7cf1:8850:5f3e,Paris,Paris,2020-09-09 01:56:29
14,Building data pipelines,success,89328463501,f75c:724a:378:3787:b8a2:e9b7:55f4:4b0b,New York,New York,2020-05-31 15:17:48
15,Designing and implementing data models,success,89328463502,3b16:b2c0:32e0:c7fa:e4e4:4035:4954:1925,Florida,Florida,2020-07-30 11:58:07
16,Designing and implementing data models,-,89328463503,56c0:efbf:2ecc:67b6:61c:2fa6:7b12:2e12,Texas,Texas,2020-10-08 20:35:13
17,Data quality assurance,-,89328463504,99db:f6af:4b20:e70d:3f70:a3a7:1750:dd48,Texas,Texas,2020-05-09 16:42:47
18,Extracting data from various sources,success,89328463505,4d9b:5fd7:767c:c61b:5b8e:a027:4de6:fa64,Texas,Texas,2020-07-17 00:03:17
19,Optimizing database performance,success,89328463506,7a36:eec8:e57e:a6:90a0:827f:3e16:1544,Florida,Florida,2020-12-11 18:50:20
20,Data governance,success,89328463507,5f7:b36d:6e44:aa20:2d85:e34a:c3bc:933d,Texas,Texas,2020-07-20 18:18:44
21,Data quality assurance,success,89328463508,ab47:d1a9:b22c:f478:971:e067:9fd4:c67,Tokyo,Tokyo,2020-09-04 02:41:01
22,Loading data into a data warehouse,success,89328463509,9563:6439:aa49:2239:6e1d:1c32:b1a0:39c9,California,California,2020-08-03 02:49:23
23,Transforming data into a unified format,success,89328463510,ff37:2e54:5ca0:2d77:ec38:9af2:a180:a416,Paris,Paris,2020-06-29 22:15:50
24,Extracting data from various sources,failed,89328463511,bd6d:1f65:389f:8977:d411:7194:507f:9870,Florida,Florida,2020-05-13 20:21:36
25,Data governance,success,89328463512,791c:7d56:a736:92e2:523f:1d8b:c1c1:c2e7,Texas,Texas,2020-06-11 07:45:17
26,Data quality assurance,success,89328463513,f73:9467:b9bc:27b0:ed5:2109:e89a:9be8,Texas,Texas,2020-04-15 16:57:21
27,Data governance,success,89328463514,dd06:fb88:e4b0:c6c2:2bd5:2334:eb05:f2bf,California,California,2020-05-11 11:37:18
28,Optimizing database performance,success,89328463515,e2b:4e14:ce97:d5ac:ec6d:6fff:ea1e:b936,Florida,Florida,2020-10-25 16:21:39
29,Data integration,success,89328463516,af81:5a83:f68f:14f7:36ea:e98:b9d7:b7d6,Florida,Florida,2020-11-02 13:39:26
30,Data governance,success,89328463517,f8a0:bf7d:f195:8452:d2ac:162d:d49d:b3ea,Tokyo,Tokyo,2020-09-21 11:01:57
31,Data governance,-,89328463518,2e0:9665:ad00:a232:ed01:8244:ed87:6e55,Paris,Paris,2020-05-30 20:33:05
32,Building data pipelines,success,89328463519,63cd:490d:f782:8e81:6ac3:4ade:7818:bd15,Texas,Texas,2020-09-15 11:04:45
33,Data integration,success,89328463520,7b62:dbba:b416:9c89:fc1f:107:18d:1364,Texas,Texas,2020-04-12 17:25:20
34,Loading data into a data warehouse,success,89328463521,8add:b5d9:9b21:2ca6:a54e:63b0:b9ec:9450,New York,New York,2020-07-03 22:50:26
35,Loading data into a data warehouse,success,89328463522,9221:2ac2:6b88:c2f:9cdc:560a:8f19:9500,Tokyo,Tokyo,2020-09-25 06:15:27
36,Transforming data into a unified format,success,89328463523,9b88:56b1:1f77:19ad:ad3:87ba:87f:c6ce,Tokyo,Tokyo,2020-07-07 06:05:17
37,Designing and implementing data models,success,89328463524,d59c:fe8c:cf3:8bc2:7d1f:9183:5f9b:5d34,Queensland,Queensland,2020-07-26 20:43:13
38,Designing and implementing data models,success,89328463525,dc1d:2564:8837:b3b1:c76f:ddc9:4bb5:8f88,Paris,Paris,2020-10-20 08:54:55
39,Data governance,success,89328463526,c6dd:c492:7306:c57f:be19:e82b:dd1b:9b0d,New York,New York,2020-06-29 12:45:47
40,Building data pipelines,success,89328463527,ee61:7de0:83b5:472a:ace8:296:3899:b93c,California,California,2020-08-26 08:39:44
41,Optimizing database performance,success,89328463528,ef0b:751e:87b3:5dca:cd66:e7e5:a800:1d8,Paris,Paris,2020-09-19 01:44:35
42,Optimizing database performance,failed,89328463529,bb6c:43f0:d2a:2140:c4c4:9eb2:535b:479c,Florida,Florida,2020-04-13 13:56:28
43,Data governance,success,89328463530,95c7:c80:239a:8bf2:a6fc:ea36:5ac8:f254,Florida,Florida,2020-11-29 09:00:01
44,Extracting data from various sources,success,89328463531,ff98:8df7:3132:6e04:83bd:f7e8:6785:6d10,Queensland,Queensland,2020-09-14 08:51:38
45,Building data pipelines,failed,89328463532,9005:f086:b98a:dfb1:fd4b:c187:a367:3ce6,Texas,Texas,2020-07-11 11:31:48
46,Extracting data from various sources,success,89328463533,3de2:1164:958a:e086:9dca:65cb:8a76:692b,Tokyo,Tokyo,2020-10-15 02:04:38
47,Loading data into a data warehouse,success,89328463534,8079:2c06:5f42:79f:ed34:4cd0:6189:c1a9,Florida,Florida,2020-12-03 17:21:26
48,Extracting data from various sources,failed,89328463535,a95d:3f9a:d36a:c3d7:f749:7a45:f40e:fdca,California,California,2020-10-04 08:08:04
49,Transforming data into a unified format,success,89328463536,a75:b887:d02d:c7e4:bfee:830a:e7fb:e970,Ontario,Ontario,2020-09-23 15:07:34
50,Extracting data from various sources,-,89328463537,730a:74b4:cefe:60a:65b4:c024:b7ce:35c4,Queensland,Queensland,2020-11-13 23:08:36
51,Data governance,failed,89328463538,52d:4f74:ab5f:8a92:14a3:7bec:c56f:786d,Tokyo,Tokyo,2020-04-22 07:19:23
52,Transforming data into a unified format,failed,89328463539,7e37:1b8d:19d6:3552:815a:decb:6899:b30b,Paris,Paris,2020-08-17 15:06:46
53,Transforming data into a unified format,failed,89328463540,4f10:ac2e:eff1:292a:982b:8ed7:d82c:d605,Texas,Texas,2020-06-04 15:29:26
54,Extracting data from various sources,success,89328463541,6222:683f:1bd0:d94:a68e:1663:4b98:2c76,Ontario,Ontario,2020-06-28 05:06:07
55,Data governance,success,89328463542,ce75:6e62:67e7:78a8:d43e:63bd:daf9:243f,Queensland,Queensland,2020-07-24 05:50:46
56,Optimizing database performance,success,89328463543,63fb:ea24:b02b:e368:a424:3e07:26bd:f745,Paris,Paris,2020-06-17 11:39:35
57,Data integration,success,89328463544,5008:92b8:5fad:eeaf:ac82:4d30:5106:b32e,Queensland,Queensland,2020-05-28 10:09:31
58,Designing and implementing data models,success,89328463545,d4df:27ce:d11:314c:14fc:83be:8b53:95e1,Texas,Texas,2020-06-22 19:36:09
59,Extracting data from various sources,success,89328463546,8c3:db6c:b70a:4086:9b5e:ed48:d324:383b,Tokyo,Tokyo,2020-04-27 20:30:29
60,Data governance,failed,89328463547,3a40:a149:33b7:9101:1dbf:b685:94d6:454c,Ontario,Ontario,2020-10-04 05:18:47
61,Data integration,success,89328463548,d62:d41f:8d8f:7a8:ac74:d9c5:9e4c:cdd8,Ontario,Ontario,2020-06-23 10:18:51
62,Transforming data into a unified format,success,89328463549,22ac:f16e:b05a:b256:be1f:1393:ec28:8e5f,California,California,2020-05-08 00:04:57
63,Data quality assurance,success,89328463550,b6dc:4114:7724:a363:f528:cdab:9c4e:cc94,Ontario,Ontario,2020-10-21 12:28:58
64,Data governance,success,89328463551,76e8:4e00:cd1b:7e0f:a48:14c9:4dc8:3f75,Paris,Paris,2020-04-17 17:22:41
65,Data quality assurance,success,89328463552,7212:222b:45e1:3bf6:675d:f3bc:7a47:52c3,Paris,Paris,2020-04-23 22:53:55
66,Optimizing database performance,success,89328463553,501a:40b3:98ab:1191:6e80:47cd:83ef:5378,Texas,Texas,2020-05-19 06:50:01
67,Data quality assurance,success,89328463554,e5a1:6234:52cb:e230:b67:9d21:2116:7438,New York,New York,2020-12-05 02:39:07
68,Data quality assurance,-,89328463555,cf02:f6f7:d6ac:9bdb:bce6:299f:6118:a00e,Ontario,Ontario,2020-08-13 09:50:38
69,Data quality assurance,success,89328463556,48da:eb41:d135:7ef9:1633:68c3:ec38:a810,Queensland,Queensland,2020-08-07 11:21:15
70,Data quality assurance,success,89328463557,92e6:a918:5d5a:f41b:13db:1263:dadb:36b9,Queensland,Queensland,2020-06-09 17:09:05
71,Data governance,-,89328463558,1d42:51ec:30da:436f:8036:b74d:186:349f,Paris,Paris,2020-06-27 22:18:27
72,Optimizing database performance,success,89328463559,80b6:ed63:9bd0:9624:7b2c:3be6:7ce0:bbab,New York,New York,2020-08-01 10:30:06
73,Extracting data from various sources,success,89328463560,80fb:e0c1:706e:c1b4:5e43:dac6:69d8:daf6,New York,New York,2020-10-04 14:55:56
74,Optimizing database performance,success,89328463561,f0a:c860:31fe:aa94:bdcf:4fb9:3e84:ba13,Texas,Texas,2020-07-01 19:22:09
75,Designing and implementing data models,success,89328463562,1c48:d689:b5bf:b490:cac2:f448:a2f5:800f,Texas,Texas,2020-04-24 22:28:25
76,Loading data into a data warehouse,success,89328463563,2811:3a17:d0fa:f5b4:6369:6943:1be5:3e28,Queensland,Queensland,2020-10-17 22:17:29
77,Data quality assurance,failed,89328463564,b1b6:c737:dc45:16e4:2a0d:d6ac:5aa:ea4b,Florida,Florida,2020-06-19 19:28:29
78,Data quality assurance,success,89328463565,b8d8:df85:1baa:48e:f904:636f:78ad:2c32,Ontario,Ontario,2020-10-09 18:34:35
79,Building data pipelines,failed,89328463566,d15a:59c8:ec68:61bf:19ec:5d75:2bc1:361f,Florida,Florida,2020-05-24 16:53:03
80,Data integration,success,89328463567,3f18:86f4:e979:ca72:2674:5b59:e004:7677,Paris,Paris,2020-09-22 15:16:11
81,Data governance,success,89328463568,53bd:c073:56f7:ba2c:4e7e:3f06:9e56:373,Florida,Florida,2020-10-30 18:02:54
82,Extracting data from various sources,-,89328463569,3d94:7432:4d0c:6fa:bc85:c2b7:6213:1c1a,Paris,Paris,2020-07-24 08:35:06
83,Transforming data into a unified format,success,89328463570,7c4:f832:7b51:9cc0:5b13:e0af:f498:aec1,Texas,Texas,2020-06-12 01:58:29
84,Extracting data from various sources,success,89328463571,b4d6:e3cc:eb62:a9fc:55e0:cd5c:4d83:8674,Florida,Florida,2020-07-16 13:59:57
85,Data governance,success,89328463572,9553:4ab9:6ca2:d260:ecb4:f035:f7f2:8941,New York,New York,2020-04-11 08:09:42
86,Data integration,success,89328463573,3a7:5c6f:a477:2b76:2d06:77e9:5892:10d3,New York,New York,2020-08-16 03:52:51
87,Loading data into a data warehouse,-,89328463574,c100:1f7a:9980:bc1a:7e1a:61c0:ad45:4448,Queensland,Queensland,2020-11-16 16:12:08
88,Extracting data from various sources,success,89328463575,ca1e:7132:a6d0:cadd:dd0d:5d8f:6e54:2d18,New York,New York,2020-04-15 19:15:37
89,Loading data into a data warehouse,success,89328463576,9e76:b33f:d856:256e:1d1:675c:8efd:4a8,Texas,Texas,2020-08-08 10:14:40
90,Extracting data from various sources,success,89328463577,3432:8c97:65b7:898c:2de0:5014:e92a:3355,Queensland,Queensland,2020-10-20 13:18:57
91,Extracting data from various sources,success,89328463578,73de:c6ce:85a8:765a:545e:3211:ab58:b4e2,Paris,Paris,2020-06-29 00:37:15
92,Extracting data from various sources,failed,89328463579,a9c3:7485:9647:6ec5:701f:59b1:6cc4:8116,Ontario,Ontario,2020-06-18 16:47:53
93,Optimizing database performance,failed,89328463580,a9c3:2127:99d7:3382:fd54:2b0d:1238:afad,California,California,2020-05-15 12:44:31
94,Optimizing database performance,success,89328463581,6fc:e149:a9ee:72b7:ffe5:784b:6ccb:4a91,Tokyo,Tokyo,2020-08-27 05:48:03
95,Data governance,success,89328463582,85b9:1b0d:6702:d1:9409:5688:b48d:895e,Florida,Florida,2020-08-28 04:06:15
96,Data integration,failed,89328463583,bfcb:95ea:609c:ed04:a3f4:da3b:1382:a0cf,New York,New York,2020-04-26 15:08:44
97,Transforming data into a unified format,success,89328463584,5267:f79a:96f0:9241:8d8d:db6f:eb42:c93e,Queensland,Queensland,2020-11-01 21:52:36
98,Transforming data into a unified format,success,89328463585,5b32:5d2b:6f28:9d86:895f:3fc2:ae67:278c,Texas,Texas,2020-10-31 10:19:38
99,Transforming data into a unified format,success,89328463586,6ecc:9368:90c:b4ee:8c6b:38da:9d9c:ebe2,Tokyo,Tokyo,2020-11-02 06:46:53
100,Data quality assurance,failed,89328463587,7582:eef6:45c:ead3:b68d:7844:adb2:18a2,Paris,Paris,2020-07-31 22:35:42
101,Data governance,success,89328463588,8b6:396e:7626:9766:2d11:b281:a0d6:c34a,Queensland,Queensland,2020-04-03 20:36:28
102,Data governance,failed,89328463589,b465:368e:f6ce:f133:207b:a2c4:bbbd:2eda,New York,New York,2020-04-01 04:23:32
103,Loading data into a data warehouse,success,89328463590,ff1b:9545:2ab1:66a6:825a:df34:a5ee:8f47,New York,New York,2020-06-29 22:45:30
104,Data governance,failed,89328463591,4c41:ebb3:95a2:2455:e2d2:caab:22d2:a551,Florida,Florida,2020-05-04 00:26:55
105,Data governance,success,89328463592,80b2:40d6:fcd8:92af:10be:f6d2:2e70:43ff,Queensland,Queensland,2020-04-11 00:47:46
